schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,minimum_zone_volume,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=100,liquidity_sweep_vap_absorption_reversal,short,1.05,100,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,all,1.05,150,12,1,1,0,0,1,52.75,52.75,1,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,long,1.05,150,12,1,1,0,0,1,52.75,52.75,1,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,short,1.05,150,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=200,liquidity_sweep_vap_absorption_reversal,all,1.05,200,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=200,liquidity_sweep_vap_absorption_reversal,long,1.05,200,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=200,liquidity_sweep_vap_absorption_reversal,short,1.05,200,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=300,liquidity_sweep_vap_absorption_reversal,all,1.05,300,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=300,liquidity_sweep_vap_absorption_reversal,long,1.05,300,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=300,liquidity_sweep_vap_absorption_reversal,short,1.05,300,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=500,liquidity_sweep_vap_absorption_reversal,all,1.05,500,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=500,liquidity_sweep_vap_absorption_reversal,long,1.05,500,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=500,liquidity_sweep_vap_absorption_reversal,short,1.05,500,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=750,liquidity_sweep_vap_absorption_reversal,all,1.05,750,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=750,liquidity_sweep_vap_absorption_reversal,long,1.05,750,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
